CountryCode,democracy_fh,log_gdp,year,worldincome,YearOrder
3,.1666667,7.6429729,1975,13.08924,4
3,0,7.5635118,1980,13.18222,5
3,0,7.5284829,1985,13.23596,6
3,0,7.57377,1990,13.31541,7
3,.1666667,7.1329942,1995,13.36628,8
3,.1666667,,2000,13.44528,9
6,.30000001,8.8335238,1955,2.983633,0
6,.63,8.9053736,1960,3.002038,1
6,.52999997,9.01616,1965,3.034786,2
6,.1666667,9.1339903,1970,3.07886,3
6,.83333331,9.2028399,1975,3.102201,4
6,.1666667,9.271142,1980,3.1258259,5
6,.83333331,9.0653162,1985,3.1344669,6
6,1,8.884429,1990,3.1522369,7
6,.83333331,9.2366095,1995,3.166904,8
6,1,9.3062372,2000,3.1917181,9
8,.83333331,9.2564526,1985,8.8929882,6
8,.66666669,9.4745798,1990,8.9482679,7
8,.5,9.4313459,1995,8.9804888,8
8,.5,9.7224941,2000,9.0731487,9
9,1,9.2002316,1955,6.3581891,0
9,1,9.2778759,1960,6.3527441,1
9,1,9.4207439,1965,6.4305158,2
9,1,9.6037588,1970,6.5207868,3
9,1,9.657485,1975,6.5691319,4
9,1,9.7480259,1980,6.6172242,5
9,1,9.8201571,1985,6.656436,6
9,1,9.9066525,1990,6.7059102,7
9,1,10.01196,1995,6.7397432,8
9,1,10.14875,2000,6.817255,9
10,,8.6229143,1955,12.438,0
10,.97000003,8.9006767,1960,12.50198,1
10,.97000003,9.0804443,1965,12.6303,2
10,1,9.3214846,1970,13.00335,3
10,1,9.4942503,1975,13.06413,4
10,1,9.6666145,1980,13.13671,5
10,1,9.7269955,1985,13.18225,6
10,1,9.8940849,1990,13.25398,7
10,1,9.9535017,1995,13.28773,8
10,1,10.07224,2000,13.3477,9
14,.57999998,6.400949,1965,5.5229268,2
14,0,6.7430658,1970,5.6676202,3
14,0,6.6447921,1975,5.703063,4
14,0,6.6239691,1980,5.7356048,5
14,0,6.609796,1985,5.7632189,6
14,0,6.7193031,1990,5.7967839,7
14,.1666667,6.5415168,1995,5.8181729,8
14,.1666667,6.2599802,2000,5.862669,9
16,.55000001,6.9722438,1960,9.320673,1
16,.25,7.0131378,1965,9.4169436,2
16,0,6.9978819,1970,9.543499,3
16,0,6.8879991,1975,9.6046429,4
16,0,6.9077778,1980,9.6703444,5
16,0,7.0662241,1985,9.7117987,6
16,.1666667,6.9077601,1990,9.7796288,7
16,.83333331,6.9715118,1995,9.8190346,8
16,.83333331,7.1016631,2000,9.8711042,9
17,.14,6.6260729,1960,5.41751,1
17,.07,6.438499,1965,5.4775238,2
17,.66666669,6.5058599,1970,5.5630178,3
17,.1666667,6.581646,1975,5.6044559,4
17,.1666667,6.639576,1980,5.6399021,5
17,0,6.71311,1985,5.6621699,6
17,.1666667,6.7397761,1990,5.694705,7
17,.33333331,6.7700591,1995,5.7090998,8
17,.5,6.863626,2000,5.7380681,9
18,0,6.8704948,1975,4.1623058,4
18,.66666669,6.880692,1980,4.1955152,5
18,.33333331,7.0601149,1985,4.2246242,6
18,.33333331,7.153151,1990,4.2592831,7
18,.66666669,7.2910242,1995,4.281868,8
18,.66666669,7.4288568,2000,4.344955,9
24,1,8.3903131,1985,27.12285,6
24,1,8.6386309,1990,27.26754,7
24,1,8.7352152,1995,27.370529,8
24,1,8.7934904,2000,27.55316,9
25,.41,7.8692131,1955,7.0430999,0
25,.60000002,7.7638068,1960,7.094214,1
25,.36000001,7.8989429,1965,7.1624799,2
25,.33333331,7.8232021,1970,7.2385402,3
25,.1666667,7.9801822,1975,7.2900701,4
25,0,8.0239706,1980,7.341814,5
25,.83333331,7.8408961,1985,7.3511548,6
25,.83333331,7.8022032,1990,7.3708711,7
25,.83333331,7.868782,1995,7.4311128,8
25,1,7.9098959,2000,7.4708571,9
26,.88999999,7.5838671,1955,4.2635641,0
26,.91000003,7.7712541,1960,4.2743931,1
26,.61000001,7.9525008,1965,4.3185391,2
26,.33333331,8.1942072,1970,4.3669429,3
26,.5,8.5497904,1975,4.3922639,4
26,.5,8.760891,1980,4.4223242,5
26,.66666669,8.7243443,1985,4.440063,6
26,.83333331,8.7351608,1990,4.4655099,7
26,.83333331,8.8195248,1995,4.4859099,8
26,.66666669,8.8804474,2000,4.5196819,9
27,1,8.706109,1970,16.294081,3
27,1,9.0188894,1975,16.38361,4
27,1,9.230895,1980,16.41678,5
27,1,9.2471561,1985,16.48835,6
27,1,9.5091515,1990,16.569691,7
27,1,9.5245991,1995,16.63555,8
27,1,9.7059689,2000,16.78931,9
30,.66666669,7.08392,1970,4.657866,3
