"","ReadNews","PoliticalInterest","Education","TreatmentGroup","WatchProgram","InformationLevel","Income","Female"
"1",2,4,11,1,0,4,5,0
"2",7,4,9,1,1,3,2,0
"3",7,4,11,1,1,3,3,1
"4",7,4,11,1,1,3,7,1
"5",7,3,11,0,0,4,9,0
"6",7,2,6,1,0,4,2,0
"7",7,4,12,1,0,3,NA,0
"8",6,3,12,0,0,2,6,1
"9",1,3,11,0,0,3,4,1
"10",6,3,11,1,0,2,6,0
"11",7,2,12,0,0,4,11,1
"12",7,4,11,0,0,4,10,0
"13",1,4,4,1,0,3,NA,1
"14",6,4,9,0,0,4,4,1
"15",7,3,7,1,0,3,3,1
"16",5,3,11,0,0,4,4,1
"17",6,3,11,1,1,3,7,0
"18",5,3,8,1,0,3,6,1
"19",3,2,7,1,0,3,5,1
"20",1,2,2,1,0,3,1,1
"21",7,4,2,0,0,4,3,1
"22",4,2,11,0,0,3,4,0
"23",7,3,12,1,1,4,11,0
"24",1,2,11,1,0,2,3,1
"25",7,4,9,0,0,4,NA,0
"26",1,3,9,0,0,3,5,1
"27",7,3,6,1,0,4,6,1
"28",7,4,13,1,1,4,NA,0
"29",7,3,11,1,0,4,8,1
"30",7,4,8,1,0,4,3,0
"31",2,2,4,0,0,2,4,0
"32",6,NA,4,1,1,2,NA,0
"33",7,4,11,0,1,4,5,0
"34",1,2,4,1,1,3,2,1
"35",7,2,9,0,0,1,11,0
"36",7,4,9,0,0,3,8,0
"37",7,4,11,0,0,4,2,1
"38",5,3,11,0,1,2,7,0
"39",6,4,4,1,0,4,5,0
"40",7,4,12,1,0,4,11,0
"41",1,3,11,1,0,3,6,1
"42",5,3,11,1,0,3,3,NA
"43",4,2,10,1,0,3,4,0
"44",7,4,12,1,1,3,6,0
"45",7,4,12,1,1,3,NA,0
"46",5,2,4,0,0,2,2,0
"47",1,3,4,1,0,3,10,0
"48",7,4,9,0,0,4,NA,1
"49",6,3,4,0,0,4,6,1
"50",5,2,3,0,0,2,NA,1
